number,name,status
PEP,– PEP Purpose and Guidelines,Active
PEP,– PEP Infrastructure Process,Active
PEP,– Backwards Compatibility Policy,Active
PEP,– Python Packaging Authority (PyPA) Governance,Active
PEP,– Sample reStructuredText PEP Template,Active
PEP,– Python Documentation Translations,Active
PEP,– Python Language Governance,Active
PEP,– Annual Release Cycle for Python,Active
PEP,– Typing governance process,Active
PEP,– Voting Guidelines,Active
PEP,– Style Guide for Python Code,Active
PEP,– CPython platform support,Active
PEP,– Procedure for Adding New Modules,Active
PEP,– Deprecation of Standard Modules,Active
PEP,– Style Guide for C Code,Active
PEP,– BList: A Faster List-like Type,Rejected
PEP,– Migrating to Python 3 as the default online documentation,Final
PEP,– The Commons Governance Model,Rejected
PEP,– Organization of the Python community,Rejected
PEP,– The Community Governance Model,Rejected
PEP,– Python Governance Model Lead by Trio of Pythonistas,Rejected
PEP,– The External Council Governance Model,Rejected
PEP,– Asynchronous IO support,Superseded
PEP,– Cofunctions,Rejected
PEP,– Asynchronous I/O For subprocess.Popen,Withdrawn
PEP,– The Technical Leader Governance Model,Rejected
PEP,– Add a “while” clause to generator expressions,Rejected
PEP,– Cleaning out sys and the “interpreter” module,Rejected
PEP,– Introducing Roles,Rejected
PEP,– Remove Implicit String Concatenation,Rejected
PEP,– Remove Backslash Continuation,Rejected
PEP,– Access to Current Module/Class/Function,Rejected
PEP,– Merging Unladen Swallow into CPython,Withdrawn
PEP,– Delineation of the main module,Rejected
PEP,– Postfix type declarations,Rejected
PEP,– A Switch/Case Statement,Rejected
PEP,"– str(container) should call str(item), not repr(item)",Rejected
PEP,– Procedure for reviewing and improving standard library modules,Withdrawn
PEP,– No More Bare Excepts,Withdrawn
PEP,– Add PyUnicode_Export() and PyUnicode_Import() C functions,Withdrawn
PEP,– IEEE 754 Floating Point Special Values,Rejected
PEP,– Module,Rejected
PEP,– Stricter Type Guards,Withdrawn
PEP,– Dependency specification for single-file scripts,Rejected
PEP,– Callable Modules,Rejected
PEP,– Require virtual environments by default for package installers,Withdrawn
PEP,– A simplified signature for __exit__ and __aexit__,Rejected
PEP,– Adding a “converter” parameter to dataclasses.field,Rejected
PEP,– Lazy Imports,Rejected
PEP,– Labeled break and continue,Rejected
PEP,– A file format to list Python dependencies for reproducibility of an application,Rejected
PEP,"– Standardizing Enum str(), repr(), and format() behaviors",Rejected
PEP,– Robust Stack Overflow Handling,Rejected
PEP,– Reject Foolish Indentation,Rejected
PEP,– Specifying Installer Requirements for Python Projects,Withdrawn
PEP,– Editable installs via virtual wheels,Rejected
PEP,– Allow writing optional types as,Withdrawn
PEP,– Explicit Pattern Syntax for Structural Pattern Matching,Rejected
PEP,– Extensible customizations of the interpreter at startup,Rejected
PEP,– Unused variable syntax,Rejected
PEP,– Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
PEP,– Support for indexing with keyword arguments,Rejected
PEP,– Dependency specification in pyproject.toml based on PEP 508,Superseded
PEP,– Dependency specification in pyproject.toml using an exploded TOML table,Rejected
PEP,– Callable Type Syntax,Rejected
PEP,– Coordinated Python release,Rejected
PEP,– The one million limit,Withdrawn
PEP,– Hide implementation details from the C API,Withdrawn
PEP,– Structural Pattern Matching,Superseded
PEP,– Python Compatibility Version,Rejected
PEP,– Forbid return/break/continue breaking out of finally,Rejected
PEP,– The manylinux2014 Platform Tag,Superseded
PEP,– A rolling feature release stream for CPython,Rejected
PEP,– Introducing incremental feature releases,Withdrawn
PEP,– Improving bugs.python.org,Withdrawn
PEP,– Python local packages directory,Rejected
PEP,– A Concurrency Memory Model for Python,Withdrawn
PEP,– The C call protocol,Rejected
PEP,– Rationalize Built-in function classes,Withdrawn
PEP,– Unifying function/method classes,Withdrawn
PEP,– Augmented Assignment Expressions,Withdrawn
PEP,– Built-in noop(),Rejected
PEP,– The manylinux2010 Platform Tag,Superseded
PEP,– Defined semantics for locals(),Withdrawn
PEP,– Context-local variables (contextvars),Withdrawn
PEP,– Security transparency in the Python runtime,Withdrawn
PEP,– Instance Descriptors,Rejected
PEP,– Multiple Interpreters in the Stdlib,Superseded
PEP,– Execution Context,Withdrawn
PEP,– More Flexible Loop Control,Rejected
PEP,– Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
PEP,– A Unified TLS API for Python,Withdrawn
PEP,– Dot Notation Assignment In Function Header,Rejected
PEP,– Final Grammar for Literal String Interpolation,Withdrawn
PEP,– Allow BlockingIOError in security sensitive APIs,Rejected
PEP,– Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
PEP,– A Platform Tag for Portable Linux Built Distributions,Superseded
PEP,– Build system abstraction for pip/conda etc,Rejected
PEP,– Existence checking operators,Withdrawn
PEP,– API for code transformers,Rejected
PEP,– Specialize functions with guards,Rejected
PEP,– Add a private version to dict,Superseded
PEP,– Migrate CPython to Git and GitLab,Rejected
PEP,– Using the System RNG by default,Withdrawn
PEP,– A protocol for delegating datetime methods to their tzinfo implementations,Rejected
PEP,– String Interpolation - Extended Discussion,Rejected
PEP,– A standard mechanism for backward compatibility,Rejected
PEP,– Environment Markers,Rejected
PEP,– Chain exceptions at C level,Rejected
PEP,– General purpose template literal strings,Withdrawn
PEP,"– Migrate CPython to Git, Github, and Phabricator",Withdrawn
PEP,– Creating forge.python.org,Withdrawn
PEP,– Core development workflow automation for CPython,Withdrawn
